0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.010000	 0.000000	 0.000000	 0.000000	 -0.000000	 0.000000	 -0.107097	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.020000	 -0.000000	 0.000000	 -0.001071	 -0.000000	 0.000000	 -0.116098	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.030000	 -0.000000	 0.000000	 -0.002232	 -0.000000	 0.000000	 -0.125104	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.040000	 -0.000000	 0.000000	 -0.003483	 -0.000000	 0.000000	 -0.134115	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.050000	 -0.000000	 0.000000	 -0.004824	 -0.000000	 0.000000	 -0.143130	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.060000	 -0.000000	 0.000000	 -0.006255	 -0.000000	 0.000000	 -0.152150	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.070000	 -0.000000	 0.000000	 -0.007777	 -0.000000	 0.000000	 -0.161174	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.080000	 -0.000000	 0.000000	 -0.009389	 -0.000000	 0.000000	 -0.170203	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.090000	 -0.000000	 0.000000	 -0.011091	 -0.000000	 0.000000	 -0.179237	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.100000	 -0.000000	 0.000000	 -0.012883	 -0.000000	 0.000000	 -0.188275	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.110000	 -0.000000	 0.000000	 -0.014766	 -0.000000	 0.000000	 -0.197318	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.120000	 -0.000000	 0.000000	 -0.016739	 -0.000000	 0.000000	 -0.206366	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.130000	 -0.000000	 0.000000	 -0.018803	 -0.000000	 0.000000	 -0.215418	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.140000	 -0.000000	 0.000000	 -0.020957	 -0.000000	 0.000000	 -0.224475	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.150000	 -0.000000	 0.000000	 -0.023202	 -0.000000	 0.000000	 -0.233536	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.160000	 -0.000000	 0.000000	 -0.025537	 -0.000000	 0.000000	 -0.242602	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
0.170000	 -0.000000	 0.000000	 -0.027963	 -0.000000	 0.000000	 -0.251673	 90.000000	 90.000000	 0.000000	 0.000000	 0.000000
